"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","B1102","B1103","B1104","B1105","B1106","B1107"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","B1102_Total land area (Incl. the northern territories and Takeshima)[ha]","B1103_Inhabitable area[ha]","B1104_Main lakes and marshes area[ha]","B1105_Woodland area[ha]","B1106_Forest area[ha]","B1107_Area of grass fields other than forest[ha]"
"2014100000","2014","03482","Iwate-ken Yamada-machi","","26281","2559","0","23631","23631","0"
"2014100000","2014","03483","Iwate-ken Iwaizumi-cho","","99236","7429","0","92234","90959","1275"
"2014100000","2014","03484","Iwate-ken Tanohata-mura","","15619","2207","0","13476","13476","0"
"2014100000","2014","03485","Iwate-ken Fudai-mura","","6966","943","0","5831","5680","151"
"2014100000","2014","03501","Iwate-ken Karumai-machi","","24582","5806","0","18721","18721","0"
"2014100000","2014","03503","Iwate-ken Noda-mura","","8080","1179","0","7068","7006","62"
"2014100000","2014","03506","Iwate-ken Kunohe-mura","","13402","3493","0","9909","9909","0"
"2014100000","2014","03507","Iwate-ken Hirono-cho","","30292","6815","0","23973","23221","752"
"2014100000","2014","03524","Iwate-ken Ichinohe-machi","","30003","8363","0","22076","22039","37"
"2014100000","2014","04100","Miyagi-ken Sendai-shi","","78630","34142","0","44456","44439","17"
"2014100000","2014","04101","Miyagi-ken Sendai-shi Aoba-ku","","30224","9566","0","20725","20711","14"
"2014100000","2014","04102","Miyagi-ken Sendai-shi Miyagino-ku","","5819","5435","0","381","381","0"
"2014100000","2014","04103","Miyagi-ken Sendai-shi Wakabayashi-ku","","5086","4842","0","222","222","0"
"2014100000","2014","04104","Miyagi-ken Sendai-shi Taihaku-ku","","22839","6945","0","15762","15760","2"
"2014100000","2014","04105","Miyagi-ken Sendai-shi Izumi-ku","","14661","7353","0","7366","7365","1"
"2014100000","2014","04202","Miyagi-ken Ishinomaki-shi","","55450","24079","609","30762","30724","38"
"2014100000","2014","04203","Miyagi-ken Shiogama-shi","","1737","1477","0","265","265","0"
